Year,S&P 500 Avg. Return,Federal Funds Rate,Avg. Inflation Rate
1973,-14.66,8.03,6.16
1974,-26.47,9.32,11.03
1975,37.20,5.87,9.14
1976,23.84,5.06,5.74
1977,-7.18,5.29,6.50
1978,6.56,7.69,9.00
1979,18.44,11.20,13.29
1980,31.74,13.87,12.52
1981,-4.91,16.39,8.92
1982,21.55,11.43,3.82
1983,22.56,9.13,3.22
1984,6.27,10.23,4.30
1985,31.73,9.33,3.55
1986,18.67,6.68,1.91
1987,5.25,6.86,3.66
1988,16.61,7.91,4.08
1989,31.69,9.48,4.83
1990,-3.10,8.03,5.39
1991,30.47,5.87,4.23
1992,7.62,3.03,3.03
1993,10.08,3.02,2.94
1994,1.32,4.28,2.61
1995,37.58,5.96,2.81
1996,22.96,5.44,3.00
1997,33.36,5.96,2.34
1998,28.58,5.53,1.55
1999,21.04,5.65,2.19
2000,-9.11,6.41,3.38
2001,-11.89,3.53,2.83
2002,-22.10,1.75,1.59
2003,28.68,1.13,2.27
2004,10.88,1.13,2.68
2005,4.83,3.19,3.39
2006,15.79,4.96,3.24
2007,5.49,5.02,2.85
2008,-37.00,1.93,3.85
2009,26.46,0.16,0.12
2010,15.06,0.18,1.64
2011,2.11,0.10,3.16
2012,16.00,0.14,2.07
2013,32.39,0.10,1.47
2014,13.69,0.09,1.62
2015,1.38,0.13,0.12
2016,11.96,0.39,1.26
2017,21.83,1.04,2.13
2018,-4.38,1.91,2.44
2019,28.88,2.17,1.81
2020,16.26,0.09,1.25